,Returns,Volatility,Sharpe Ratio,MV Model,SDR.L Weight,NMC.L Weight,CPG.L Weight
71,0.000436269,0.016990271,0.025677565,-0.008058867,0.531180637,0.001435742,0.46738362
527,0.000235389,0.013345112,0.01763857,-0.006437167,0.639172633,0.006911762,0.353915606
874,0.000245559,0.0156795,0.015661144,-0.007594191,0.961946761,0.00814953,0.02990371
434,0.000242789,0.015694261,0.01546991,-0.007604342,0.956818849,0.028903551,0.0142776
707,0.000296955,0.013202382,0.022492501,-0.006304236,0.059759455,0.41151215,0.528728395
395,0.000275245,0.014483569,0.019003933,-0.006966539,0.298606906,0.551267039,0.150126055
373,0.000433622,0.017028058,0.025465171,-0.008080407,0.034050107,0.013599093,0.952350799
948,0.00029804,0.015819809,0.018839696,-0.007611864,0.426343053,0.569180235,0.004476712
566,0.000299961,0.01587614,0.018893832,-0.007638109,0.410714188,0.587144897,0.002140915
28,0.000303703,0.016074962,0.018892951,-0.007733778,0.338622086,0.660695116,0.000682798
788,0.000746989,0.014388013,0.051917475,-0.006447017,0.054010283,0.017772897,0.928216819
790,0.000409866,0.01206484,0.033971935,-0.005622554,0.014847088,0.112640815,0.872512097
824,0.000505565,0.015085877,0.033512444,-0.007037374,0.047886419,0.078964428,0.873149152
817,0.000497885,0.014655436,0.033972724,-0.006829833,0.002300259,0.063099369,0.934600373
783,0.000299825,0.015865734,0.018897623,-0.007633042,0.422099646,0.577869425,3.09E-05
825,0.000297017,0.015765787,0.018839352,-0.007585876,0.470158186,0.529402482,0.000439332
852,0.000448548,0.014938875,0.030025581,-0.007020889,0.003665237,0.271009563,0.7253252
713,0.001099714,0.014722905,0.074694098,-0.006261738,0.019130551,0.038949662,0.941919787
531,0.001104876,0.010838351,0.101941298,-0.0043143,0.011672598,0.027469277,0.960858126
930,0.000301142,0.015943781,0.01888772,-0.007670749,0.382276473,0.616115406,0.001608121
246,0.000312922,0.011366208,0.027530931,-0.005370182,0.062483773,0.244774114,0.692742113
343,0.000871363,0.017979129,0.048465278,-0.008118201,0.033796744,0.082853663,0.883349592
151,0.000919783,0.01685901,0.054557334,-0.007509722,0.048245871,0.135416816,0.816337313
743,0.000300463,0.015977325,0.01880559,-0.007688199,0.356636185,0.637493971,0.005869844
765,0.000466447,0.017783188,0.026229673,-0.008425147,0.231071757,0.254710198,0.514218045
126,0.000270607,0.01394407,0.019406567,-0.006701428,0.266679329,0.463269013,0.270051658
871,0.000304277,0.016223333,0.018755547,-0.007807389,0.278671326,0.717687504,0.003641171
134,0.000297948,0.015809358,0.018846299,-0.007606731,0.439175827,0.558886569,0.001937605
708,0.000268036,0.012878445,0.020812779,-0.006171186,0.414482329,0.529127091,0.05639058
541,0.000383429,0.014354071,0.026712243,-0.006793606,0.003603383,0.357198684,0.639197933
526,0.000276227,0.013338646,0.020708804,-0.006393096,0.511446842,0.488069286,0.000483872
293,0.000276827,0.013317354,0.020786902,-0.00638185,0.432435882,0.565506876,0.002057242
382,0.000276265,0.013308398,0.02075872,-0.006377934,0.476523632,0.521927366,0.001549001
781,0.000729416,0.013903206,0.052463858,-0.006222187,0.002011969,0.104473063,0.893514968
249,0.000390808,0.011295643,0.034598112,-0.005257014,0.007764406,0.22324985,0.768985744
670,0.000473807,0.01375107,0.034456039,-0.006401727,0.029643477,0.210963303,0.75939322
382,0.000448507,0.012710846,0.035285379,-0.005906916,0.002947584,0.267341962,0.729710454
935,0.000273503,0.013310518,0.020547914,-0.006381756,0.391560073,0.600710725,0.007729202
65,0.000276696,0.013356203,0.020716646,-0.006401406,0.398099163,0.60110875,0.000792088
256,0.000430059,0.013928009,0.030877257,-0.006533946,0.009205396,0.301844941,0.688949663
516,0.001088888,0.014520539,0.074989501,-0.006171381,0.020704467,0.048086509,0.931209024
95,0.0010812,0.010654463,0.101478645,-0.004246031,0.023063187,0.042352324,0.934584489
46,0.000276783,0.013313807,0.020789168,-0.006380121,0.453004857,0.546503882,0.000491261
462,0.000299671,0.010700869,0.028004407,-0.005050763,0.163727092,0.226071303,0.610201604
50,0.000800943,0.016248149,0.049294389,-0.007323132,0.021675947,0.196262053,0.782062
307,0.000922886,0.016837859,0.054810165,-0.007496044,0.008652005,0.164704857,0.826643138
569,0.00027426,0.01328991,0.020636679,-0.006370696,0.490415717,0.503784945,0.005799338
494,0.000427932,0.014866149,0.028785687,-0.007005142,0.117438639,0.454467313,0.428094049
544,0.000254779,0.011902762,0.021405062,-0.005696602,0.293042263,0.46287102,0.244086717
223,0.000275916,0.013312862,0.020725544,-0.006380515,0.485824193,0.513107643,0.001068164
524,0.000276186,0.013338431,0.020706008,-0.00639303,0.396285055,0.601064008,0.002650938
582,0.00042028,0.0165156,0.025447478,-0.00783752,0.02464983,0.051049685,0.924300485
444,0.000235459,0.013785714,0.01707991,-0.006657398,0.771473811,0.224589228,0.003936961
138,0.000232866,0.013589858,0.01713527,-0.006562063,0.750909416,0.248969015,0.000121569
571,0.000263371,0.015549466,0.016937601,-0.007511362,0.947675812,0.052150681,0.000173507
806,0.000747006,0.014392515,0.051902399,-0.006449251,0.057248813,0.009818424,0.932932763
840,0.000414621,0.01225634,0.033829124,-0.005713549,0.056193957,0.001875861,0.941930182
372,0.000501844,0.01503477,0.033378897,-0.007015541,0.122949984,0.002096302,0.874953714
174,0.000480211,0.014180194,0.033864888,-0.006609886,0.049350183,0.046733365,0.903916452
830,0.000232094,0.013581441,0.017089026,-0.006558627,0.750010937,0.248239232,0.001749831
261,0.00024273,0.014689831,0.016523643,-0.007102186,0.864204359,0.12686087,0.008934771
329,0.000460966,0.01579526,0.029183831,-0.007436664,0.149313025,0.006821791,0.843865185
110,0.001017179,0.013978555,0.072767131,-0.005972098,0.014759855,0.114905891,0.870334254
482,0.00110102,0.010830289,0.101661188,-0.004314124,0.028092104,0.011828008,0.960079888
902,0.000212127,0.012485399,0.016989981,-0.006030573,0.619703575,0.378397925,0.0018985
897,0.000301737,0.01136114,0.026558711,-0.005378833,0.23820818,0.010713914,0.751077906
618,0.000890271,0.01823609,0.048819204,-0.008227774,0.054755165,0.022632947,0.922611889
107,0.001047264,0.019339794,0.054150722,-0.008622633,0.000784833,0.01022204,0.988993126
362,0.000213197,0.012589361,0.016934722,-0.006081483,0.632390878,0.362200198,0.005408925
53,0.000430357,0.016572423,0.025968239,-0.007855855,0.371074344,0.126095477,0.502830179
70,0.000218534,0.012080805,0.018089354,-0.005821869,0.515201472,0.156314929,0.328483599
865,0.000262921,0.015608635,0.016844616,-0.007541396,0.953524611,0.043763153,0.002712236
434,0.000217681,0.012769967,0.017046327,-0.006167302,0.65609019,0.342521678,0.001388132
783,0.000413227,0.016492197,0.025055886,-0.007832872,0.154314519,0.842228877,0.003456604
50,0.000430533,0.016989684,0.025340838,-0.008064309,0.028283982,0.95419405,0.017521968
109,0.000435815,0.01711318,0.025466635,-0.008120775,0.026114628,0.972160771,0.0017246
167,0.000745789,0.014319998,0.052080268,-0.00641421,0.049668024,0.034045674,0.916286302
803,0.000427888,0.012016419,0.03560861,-0.005580321,0.003342227,0.268739042,0.727918732
811,0.000499629,0.014077037,0.035492487,-0.006538889,0.006645851,0.358691736,0.634662413
71,0.000484173,0.013681908,0.035387798,-0.006356781,0.03568399,0.255371528,0.708944483
321,0.000415677,0.01657269,0.025082068,-0.007870667,0.131877729,0.863751884,0.004370386
161,0.000419286,0.016644113,0.025191262,-0.00790277,0.126038457,0.873640937,0.000320606
870,0.000475628,0.014783925,0.032171984,-0.006916334,0.001264316,0.379801349,0.618934334
427,0.001091853,0.014605295,0.074757344,-0.006210794,0.018050629,0.058027445,0.923921926
209,0.001054615,0.010692402,0.098632215,-0.004291586,0.069593106,0.03237507,0.898031823
292,0.000411722,0.016588956,0.024819038,-0.007882756,0.025893308,0.926762617,0.047344075
422,0.000369831,0.011839897,0.03123597,-0.005550118,0.011872289,0.443605702,0.54452201
142,0.000934231,0.018956962,0.049281674,-0.00854425,0.003567324,0.018500402,0.977932274
25,0.000885214,0.015914049,0.055624679,-0.007071811,0.007214896,0.270275841,0.722509263
214,0.000425097,0.016853652,0.025222819,-0.008001729,0.060497987,0.929383688,0.010118325
41,0.000517656,0.016775926,0.03085708,-0.007870307,0.010438088,0.566475507,0.423086405
200,0.000428482,0.016782681,0.025531201,-0.007962858,0.011826206,0.94713225,0.041041545
157,0.000410137,0.01647368,0.024896504,-0.007826703,0.140722052,0.850829896,0.008448051
609,0.000421032,0.01672656,0.025171456,-0.007942248,0.085861287,0.905962585,0.008176128
783,0.000259905,0.015775125,0.016475605,-0.007627658,0.946633769,0.021714417,0.031651815
960,0.000247753,0.01546828,0.016016831,-0.007486387,0.919514383,0.026976931,0.053508686
576,0.000729696,0.01419855,0.051392325,-0.006369579,0.035638187,0.042653211,0.921708602
869,0.000417925,0.012357806,0.033818675,-0.005760978,0.019787385,0.006131642,0.974080973
55,0.000487588,0.014709829,0.033147068,-0.006867327,0.149300118,0.014349214,0.836350668
174,0.000482585,0.014263412,0.033833797,-0.00664912,0.112569922,0.001716891,0.885713187
